dato	periode	stasjon 	art	kode	kjønn	vekt	rep	merk	annet
15.09.2018	oktober	11	f	688	f	32	5	g	
13.09.2018	oktober	30	f	690	m	43	2	n	
14.09.2018	oktober	16	f	725	m	25	1	g	
15.09.2018	oktober	44	f	725	m	24	1		
13.09.2018	oktober	16	f	761	f	35	1	g	
13.09.2018	oktober	42	f	46a	m	51	2	g	
15.09.2018	oktober	1	f	47c	f	23	1	n	
13.09.2018	oktober	17	f	48a	f	23	1	n	
15.09.2018	oktober	39	f	4c2	m	46	2	g	
13.09.2018	oktober	45	f	51e	m	24	1	n	
13.09.2018	oktober	11	f	54a	f	35	1	n	
13.09.2018	oktober	49	f	5ca	f	24	1	n	
13.09.2018	oktober	39	f	62a	f	37	1	g	
14.09.2018	oktober	41	f	6ca	f	43	1	g	
15.09.2018	oktober	40	f	6ca	f	43	5		
13.09.2018	oktober	41	f	6db	f	35	1	g	
13.09.2018	oktober	34	f	6fe	f	38	5	n	
14.09.2018	oktober	34	f	6fe	f	39	5		
15.09.2018	oktober	34	f	6fe	f	36	5		
13.09.2018	oktober	32	f	73e	m	44	2	g	
15.09.2018	oktober	45	f	79a	f	38	5	g	
13.09.2018	oktober	37	f	81b	f	35	1	g	
14.09.2018	oktober	38	f	81b	f	31	1		
15.09.2018	oktober	36	f	81b	f	32	5		
