year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note	
Z19	PORS	FALL	110919	2	3	2	4C	B7BB	F	NP	25	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	2	4C	B74F	M	A	25	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	3	2	4C	FEFB	F	NP	22	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	3	2	4B	F74C	F	NP	32	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	5	2	1D	F923	M	A	19	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	5	2	1C	A83A	M	S	36	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	5	2	4D	FA8C	M	S	41	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	5	2	4B	UNMFØ	NA	NA	NA	SNØMUS			
Z19	PORS	FALL	110919	2	5	2	3B	3247	F	PL	31	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	5	2	3A	FA46	M	A	23	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	5	2	2C	AA33	M	A	24	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	5	2	1A	B5FB	F	NP	20	GRAASIDEMUS	N		
