year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note
Z19	PORSANGER	FALL	110919	2	MASOY	G15	3B	FA9DF	F	NP	23	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	3B	6492B	F	NP	25	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	3A	5FB3E	M	A	27	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	3A	64737	F	NP	26	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	2C	FAB46	M	A	27	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	2B	FAC31	M	A	31	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	2B	63DE7	F	NP	28	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	2A	600B9	NA	NA	NA	GRAASIDEMUS		DEAD TRAP CLOSED AUGUST
Z19	PORSANGER	FALL	110919	2	MASOY	G15	2A	FAC23	F	L,P	46	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	1B	5FEA2	M	A	27	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	1B	6436B	M	A	28	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	1A	5E9E6	F	NP	26	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G15	1D	FAB54	F	NP	25	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G11	1A	FBC17	F	NP	23	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G11	1D	FABDD	F	NP	23	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G11	1C	FABF7	F	PL	39	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G11	4A	FB569	M	A	20	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G11	4D	FB893	F	NP	20	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G11	4D	FABE6	M	A	20	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G8	3B	FBA3F	F	NP	21	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G8	3A	5F653	M	A	18	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G8	2C	FBAA0	F	PL	25	ROEDMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G8	2B	FB90E	F	PL	37	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G8	2A	FA8CD	M	A	16	ROEDMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G8	1A	FB624	F	NP	22	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G6	3C	FA8AE	F	NP	16	ROEDMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G6	3D	FBB0D	M	A	30	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G6	4B	FABD3	M	A	16	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G6	4C	FB85B	M	S	24	ROEDMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G6	4D	FBA39	M	A	16	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G6	1D	FBAB1	F	NP	14	ROEDMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G5	3C	FAA2F	M	A	18	ROEDMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G5	3C	FAAD7	M	A	17	ROEDMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G5	3D	FB92A	M	A	16	MARKMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G5	3D	FB962	F	NP	18	MARKMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G5	4D	FB89C	F	L,P	37	MARKMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G5	1C	FB938	F	NP	21	ROEDMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G5	1D	FBBEC	M	A	14	MARKMUS	N	
Z19	PORSANGER	FALL	110919	2	MASOY	G5	1A	5E7F5	M	A	19	ROEDMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G4	1A	FAA7B	M	A	25	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G4	1B	"""63E45"""	M	S	48	MARKMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G4	2A	FA998	M	S	34	MARKMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G4	2B	FABD7	F	PL	32	GRAASIDEMUS		
Z19	PORSANGER	FALL	110919	2	MASOY	G4	3B	FAB40	M	A	20	MARKMUS	N	
