year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	3B	NA	0007A5E6DB	F	C,L	41	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	3B	NA	UNM001	NA	NA	10	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	3B	NA	UNM002	NA	NA	11	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	3B	NA	UNM003	NA	NA	10	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	3A	NA	UNM004	NA	NA	11	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	2C	NA	0007DFB8EA	M	S	43	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	2B	NA	0007DFBA20	F	O,L	40	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	2A	NA	0007A5F5CC	F	C	32	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	1B	NA	0007A5FD5F	F	O	26	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	1A	NA	0007A5E430	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	030819	1	MÅSØY	G20	1D	NA	0007A63BBE	M	S	20	ROEDMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G20	3B	NA	0007A5E6DB	F	C,L	45	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G20	3B	NA	UNM005	NA	NA	11	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G20	3B	NA	UNM006	NA	NA	11	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G20	2C	NA	0007A64B91	M	S	24	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G20	1B	NA	0007A5F985	M	S	21	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G20	1A	NA	0007A5EBE1	M	S	29	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G20	1C	NA	0007A5EE0F	M	S	25	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G19	2D	NA	0007A5F9E2	M	S	20	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G19	2D	NA	0007A5F609	M	S	24	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G19	4A	NA	0007A5F46D	M	S	26	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G19	4D	NA	0007DFB5FE	F	O,L	47	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	3C	NA	0007A63032	M	S	29	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	3C	NA	0007A5FF84	F	O	42	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	2A	NA	0007A5EA15	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	2A	NA	0007A640D4	M	S	NA	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	2D	NA	0007A5EA2C	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	2D	NA	0007A5F673	M	S	27	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	2D	NA	0007A639D8	M	S	25	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	2D	NA	0007A5FD77	M	S	25	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	1B	NA	0007A5F047	M	S	29	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	1A	NA	0007D60DE0	F	C,L	42	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	1C	NA	0007A63640	M	A	22	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	1C	NA	0007A5F813	M	S	22	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	1C	NA	0007A5F9C3	M	S	21	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G16	1C	NA	0007A60061	M	A	19	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	3C	NA	UNM007	NA	NA	11	GRAASIDEMUS	N	DEAD
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	3A	NA	0007DFAA1B	F	C,L	42	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	4B	NA	0007DFAB46	M	S	22	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	4C	NA	0007DFB7B2	F	O,L	43	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	4D	NA	0007DFA97D	F	C	17	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	4D	NA	0007A64E1A	F	C	16	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	4D	NA	0007DFABF1	M	A	18	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	4A	NA	0007DFAC49	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	4A	NA	0007DFAA8C	M	S	26	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	1B	NA	0007DFAA1C	F	C,L	45	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	1A	NA	0007DFAA56	M	S	22	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	2D	NA	0007DFB742	M	S	50	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G15	2B	NA	0007DFAA2A	M	S	28	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	3B	NA	NA	M	S	24	GRAASIDEMUS	N	TAGGED, BUT FORGOT TO SCAN TAGG-ID
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	3C	NA	0007DFA971	M	A	19	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	2D	NA	0007DFAAB1	M	S	25	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	1A	NA	0007DFABDD	M	S	22	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	1A	NA	0007DFAA4B	F	C	20	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	1A	NA	0007DFABF7	F	C	40	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	1D	NA	0007DFAB67	M	S	24	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	4C	NA	0007DFB5C7	F	C,L	40	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	4C	NA	0007A5EA70	F	C	16	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G11	4C	NA	0007A5FCF4	M	A	19	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	3D	NA	0007DFBAA0	F	O,L	35	ROEDMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	4B	NA	0007DFA9D2	F	C,L	35	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	4C	NA	0007DFAB24	M	S	35	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	4D	NA	0007A64B93	F	C	23	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	4D	NA	0007DFA8C8	M	A	20	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	4D	NA	0007DFAAFA	M	S	20	GRAASIDEMUS	N	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	4A	NA	0007DFB486	F	O,L	43	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	4A	NA	0007A5EB51	M	S	24	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	1C	NA	0007A60200	M	S	42	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	1D	NA	0007A640B3	F	C	22	GRAASIDEMUS	R	
SU19	PORSANGER	SUMMER	040819	2	MÅSØY	G8	1A	NA	0007A66EF1	M	S	26	GRAASIDEMUS	R	
