year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	1B	NA	0007D3A8DB	M	S	41	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	1D	NA	0007D2E1A1	M	S	31	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G19	2A	NA	NA	NA	NA	NA	FJELLROTTE	N	ESCAPED DURING HANDLING
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G20	2D	NA	0007D60469	F	C	NA	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G20	2B	NA	0007D2BBDE	F	C	41	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	20818	1	MÅSØY	G20	1D	NA	0007D2E1A1	M	S	29	GRAASIDEMUS	R	SOMETHING WIERD, THIS TAG# IS ALSO REPORTED IN G19 THE SAME DAY? ASK ZINA
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G20	3B	NA	UNM011	NA	NA	9	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G20	3B	NA	UNM012	NA	NA	10	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G20	2D	NA	0007D6155B	M	A	19	ROEDMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G16	2C	NA	0007D373A8	M	S	20	ROEDMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G16	2D	NA	0007D60AEE	F	C,L	42	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G15	3A	NA	0007D2DFEE	F	C	25	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G15	2D	NA	0007D613A3	F	C	46	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G15	1C	NA	UNM013	F	NP	10	ROEDMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	3D	NA	0007D3A9E8	F	O	35	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	3D	NA	0007D5B816	M	S	46	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	4A	NA	0007D3DAC0	M	S	47	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	4A	NA	UNM014	F	NP	<12	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	4A	NA	UNM015	M	A	<12	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G11	4C	NA	0007D60A13	F	C	31	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	3B	NA	0007D60CB7	M	S	19	ROEDMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	1B	NA	0007D36D9A	F	O,L	36	GRAASIDEMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	1C	NA	UNM016	M	A	<12	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	1C	NA	UNM017	F	NP	<12	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	1C	NA	UNM018	F	NP	<12	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	4D	NA	0007D5FF23	M	S	30	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	4C	NA	0007D5FF44	M	S	29	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G08	4C	NA	0007D305B9	M	S	31	GRAASIDEMUS	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	3D	NA	0007D3182C	F	C,L	22	ROEDMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	3C	NA	0007D39A22	F	C	30	FJELLROTTE	N	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	4D	NA	0007D60E9D	F	O,L	31	ROEDMUS	R	
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G06	4C	NA	NA	NA	NA	NA	FJELLROTTE	NA	ESCAPED DURING HANDLING
A18	PORSANGER	AUTUMN	30818	2	MÅSØY	G04	1B	NA	0007D3A2CF	M	S	34	FJELLROTTE	N	
