year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G12	1B	NA	0007D2DFAC	F	P	34,0	GRAASIDEMUS	R	YOY
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G12	1C	NA	0007D5FFAF	M	S	42,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G11	2D	NA	0007D26800	F	L,P?	46,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G11	2D	NA	UNMF	M	A	12,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G11	2D	NA	UNMG	M	A	12,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G11	2D	NA	UNMH	F	NP	12,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G11	1B	NA	0007D30847	M	S	45,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G11	1B	NA	UNMI	F	NP	11,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G11	1D	3114	0007D3082C	F	L,P	45,0	GRAASIDEMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G10	3B	NA	0007D60771	F	L,P	48,0	GRAASIDEMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G8	1D	NA	0007D485C1	M	S	42,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G7	3C	NA	0007D60D46	M	S	28,0	ROEDMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G5	1C	NA	0007D60334	M	S	28,0	ROEDMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G5	1D	NA	0007D3224F	M	S	30,0	ROEDMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G2	1C	NA	0007D607DA	F	L	34,0	GRAASIDEMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G2	1C	NA	UNMJ	F	NP	9,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G2	1C	NA	UNMJ	F	NP	9,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G2	1C	NA	UNMJ	F	NP	9,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G2	1C	NA	UNMJ	M	A	9,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G2	1C	NA	UNMJ	M	A	9,0	GRAASIDEMUS	N	NO PITTAG
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G2	4D	NA	0007D60571	F	L	34,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G1	2D	NA	0007D39947	F	PL	31,0	GRAASIDEMUS	R	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G1	1B	NA	0007D2BF5E	F	PL	38,0	GRAASIDEMUS	N	
Z18	PORSANGER	SPRING	170618	2	MÅSØY	G1	1A	NA	0007D6080B	M	S	43,0	GRAASIDEMUS	N	
