year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORS	AUTUMN	120918	2	2	2	3C	NA	0007DF0630	F	L	40	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3C	NA	0007DFB53C	F	NP	12	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3C	NA	0007DFBB96	M	A	13	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3C	NA	NA	F	NP	13	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3D	NA	0007DFFD82	M	A	21	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3D	NA	0007DFB455	M	A	25	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3D	NA	0007DF02BD	M	A	23	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3D	NA	0007DFB543	F	NP	20	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	3D	NA	0007DFB6AØ	F	NP	20	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	3D	NA	0007DFB6CB	M	A	21	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	4B	NA	0007DF2F13	M	S	43	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	4B	NA	0007DFB9C4	M	A	25	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	4C	NA	0007DF0001	F	L	32	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	4C	NA	0007DFDFBD	M	A	15	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	4C	NA	 0007DFB5A3	M	A	13	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	4C	NA	0007DFB61F	M	A	14	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	4D	NA	0007DFD57E	M	S	35	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	4A	3024	0007DF09D1	F	PL	33	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	1C	NA	0007DF043F	F	PL	36	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	1C	NA	0007DFB70D	M	A	23	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	1A	NA	0007DFB795	F	NP	24	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	1A	NA	0007DFB525	M	A	26	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	4A	NA	0007DFBA91	M	A	27	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	4D	NA	0007DFB5BE	F	NP	16	ROEDMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	4C	NA	0007DFB621	F	L,P	50	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	4C	NA	0007DFBB28	M	A	14	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	4C	NA	0007DFB7A6	M	A	16	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	4B	NA	0007DFBB27	F	L	51	MARKMUS		
Z18	PORS	AUTUMN	120918	2	3	1	3C	NA	0007DFB65A	M	A	22	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	3A	NA	0007DFBA2E	F	L	37	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	3	1	2C	NA	0007DFB59B	M	A	23	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	2B	NA	0007DFB4A3	M	A	26	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	2D	NA	0007DFB713	F	NP	28	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	1	1A	NA	0007DFB933	F	NP	25	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	3C	NA	0007DFB90D	M	A	30	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	3	2	4B	NA	0007DFBAB4	F	L	38	MARKMUS		
Z18	PORS	AUTUMN	120918	2	3	2	4B	NA	0007DFB82A	M	A	14	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	5	1	1A	NA	0007DFB5A2	F	NP	16	ROEDMUS		
Z18	PORS	AUTUMN	120918	2	5	1	2C	NA	0007DFB5B6	F	L	23	ROEDMUS		
Z18	PORS	AUTUMN	120918	2	5	1	3A	NA	0007DFB604	F	NP	25	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	5	1	3B	NA	0007DFB91F	F	NP	23	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	5	1	3D	NA	0007DFB7F2	F	NP	17	ROEDMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4C	NA	NA	F	NP	18	ROEDMUS	N	
Z18	PORS	AUTUMN	120918	2	5	1	4D	NA	0007DFB792	F	L	36	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4D	NA	0007DFB4EF	M	A	13	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4D	NA	0007DFB6BØ	F	NP	12	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4D	NA	0007DFB55C	F	NP	12	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4D	NA	0007DFB80A	M	A	15	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4D	NA	0007DFB6D8	M	A	12	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4A	NA	0007DFB8D8	M	A	17	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4A	NA	0007DFB60E	F	NP	16	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	4A	NA	0007DFB638	F	NP	15	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	5	1	4A	NA	0007DFB602	F	NP	13	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	1C	NA	0007DFB7AB	F	PL	31	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	1	1C	NA	0007DFB5CE	F	NP	16	GRAASIDEMUS		
