"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"57";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"4C";"UNM010";"M";"S";32;"GRAASIDEMUS";"N";"DEAD"
"58";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"4D";"0007D603E5";"M";"S";38;"ROEDMUS";"N";NA
"59";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"2B";"0007D60AEE";"F";"C,L";41;"GRAASIDEMUS";"R";NA
"60";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"2C";"0007D2D1ED";"M";"S";15;"ROEDMUS";"N";NA
"61";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"2C";"0007D30CDD";"M";"S";43;"GRAASIDEMUS";"N";NA
"62";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"2B";"0007D2BBDE";"F";"C";42;"GRAASIDEMUS";"N";NA
"63";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1B";"0007D3A8DB";"M";"S";41;"GRAASIDEMUS";"N";NA
"64";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1D";"0007D2E1A1";"M";"S";31;"GRAASIDEMUS";"N";NA
"65";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"2A";"ESCNA03";NA;NA;NA;"FJELLROTTE";"N";"ESCAPED DURING HANDLING"
"66";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"2D";"0007D60469";"F";"C";NA;"GRAASIDEMUS";"R";NA
"67";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"2B";"0007D2BBDE";"F";"C";41;"GRAASIDEMUS";"R";NA
"68";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"1D";"0007D2E1A1";"M";"S";29;"GRAASIDEMUS";"R";"SOMETHING WIERD, THIS TAG# IS ALSO REPORTED IN G19 THE SAME DAY? ASK ZINA"
"69";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"3B";"UNM011";NA;NA;9;"GRAASIDEMUS";"N";NA
"70";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"3B";"UNM012";NA;NA;10;"GRAASIDEMUS";"N";NA
"71";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"2D";"0007D6155B";"M";"A";19;"ROEDMUS";"N";NA
"72";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"2C";"0007D373A8";"M";"S";20;"ROEDMUS";"N";NA
"73";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"2D";"0007D60AEE";"F";"C,L";42;"GRAASIDEMUS";"R";NA
"74";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"3A";"0007D2DFEE";"F";"C";25;"GRAASIDEMUS";"R";NA
"75";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"2D";"0007D613A3";"F";"C";46;"GRAASIDEMUS";"R";NA
"76";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"1C";"UNM013";"F";"NP";10;"ROEDMUS";"N";NA
"77";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"3D";"0007D3A9E8";"F";"O";35;"GRAASIDEMUS";"R";NA
"78";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"3D";"0007D5B816";"M";"S";46;"GRAASIDEMUS";"N";NA
"79";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4A";"0007D3DAC0";"M";"S";47;"GRAASIDEMUS";"N";NA
"80";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4A";"UNM014";"F";"NP";11;"GRAASIDEMUS";"N";"<12"
"81";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4A";"UNM015";"M";"A";11;"GRAASIDEMUS";"N";"<12"
"82";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"4C";"0007D60A13";"F";"C";31;"GRAASIDEMUS";"R";NA
"83";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"3B";"0007D60CB7";"M";"S";19;"ROEDMUS";"R";NA
"84";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"1B";"0007D36D9A";"F";"O,L";36;"GRAASIDEMUS";"R";NA
"85";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"1C";"UNM016";"M";"A";11;"GRAASIDEMUS";"N";"<12"
"86";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"1C";"UNM017";"F";"NP";11;"GRAASIDEMUS";"N";"<12"
"87";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"1C";"UNM018";"F";"NP";11;"GRAASIDEMUS";"N";"<12"
"88";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"4D";"0007D5FF23";"M";"S";30;"GRAASIDEMUS";"N";NA
"89";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"4C";"0007D5FF44";"M";"S";29;"GRAASIDEMUS";"N";NA
"90";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G8";"4C";"0007D305B9";"M";"S";31;"GRAASIDEMUS";"N";NA
"91";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"3D";"0007D3182C";"F";"C,L";22;"ROEDMUS";"R";NA
"92";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"3C";"0007D39A22";"F";"C";30;"FJELLROTTE";"N";NA
"93";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"4D";"0007D60E9D";"F";"O,L";31;"ROEDMUS";"R";NA
"94";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G6";"4C";"ESCNA04";NA;NA;NA;"FJELLROTTE";NA;"ESCAPED DURING HANDLING"
"95";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"1B";"0007D3A2CF";"M";"S";34;"FJELLROTTE";"N";NA
"96";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"1B";"0007D2B744";"F";"O";40;"FJELLROTTE";"N";NA
"97";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"2D";"0007D6076E";"F";"C,L";46;"FJELLROTTE";"N";NA
"98";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"2A";"0007D6145A";"F";"C";45;"FJELLROTTE";"N";NA
"99";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"2A";"0007D6011F";"M";"S";23;"ROEDMUS";"R";NA
"100";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"2C";"0007D31A37";"F";"C";45;"FJELLROTTE";"N";NA
"101";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"3A";"0007D30977";"F";"O";43;"FJELLROTTE";"R";NA
"102";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G4";"3A";"0007D2D705";"M";"S";23;"FJELLROTTE";"N";NA
"103";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"3D";"0007D607DA";"F";"C,L";35;"GRAASIDEMUS";"R";NA
"104";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"2D";"UNM019";"M";"A";11;"GRAASIDEMUS";"N";"<12"
"105";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"2A";"0007D5FEF1";"F";"O,L";47;"GRAASIDEMUS";"N";NA
"106";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"1A";"0007D60666";"M";"S";31;"GRAASIDEMUS";"R";NA
"107";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G2";"1A";"0007D2DA8B";"M";"S";21;"GRAASIDEMUS";"N";NA
"108";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"3B";"0007D5FFCE";"F";"O,L";37;"GRAASIDEMUS";"N";NA
"109";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"2D";"0007D3C35F";"M";"S";35;"GRAASIDEMUS";"N";NA
"110";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"1B";"0007DFA8C0";"M";"S";30;"GRAASIDEMUS";"N";NA
"111";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G1";"1A";"0007D60397";"F";"O";36;"GRAASIDEMUS";"R";NA
"112";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"1A";"0007D3C69E";"M";"S";38;"GRAASIDEMUS";"R";NA
"113";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"4C";"UNM020";"F";"NP";11;"GRAASIDEMUS";"N";"NO PITTAG"
"114";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"4A";"0007D3D9AA";"F";"C,L";51;"GRAASIDEMUS";"R";NA
"115";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"4A";"UNM021";"F";"NP";11;"GRAASIDEMUS";"N";"NO PITTAG"
"116";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"1C";"UNM022";"F";"NP";10;"GRAASIDEMUS";"N";"NO PITTAG"
"117";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"1C";"UNM023";"F";"NP";10;"GRAASIDEMUS";"N";"NO PITTAG"
"118";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"1C";"UNM024";"M";"A";11;"GRAASIDEMUS";"N";"NO PITTAG"
"119";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"1D";"0007D30CDD";"M";"S";42;"GRAASIDEMUS";"R";NA
"120";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"1A";"0007D2B7E2";"M";"S";30;"ROEDMUS";"R";NA
