"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"indnum_old";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"57";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"4B";NA;"UNM009";NA;NA;"10";"ROEDMUS";"N";""
"58";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"4C";NA;"UNM010";"M";"S";"32";"GRAASIDEMUS";"N";"DEAD"
"59";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G15";"4D";NA;"0007D603E5";"M";"S";"38";"ROEDMUS";"N";""
"60";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"2B";NA;"0007D60AEE";"F";"C,L";"41";"GRAASIDEMUS";"R";""
"61";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"2C";NA;"0007D2D1ED";"M";"S";"15";"ROEDMUS";"N";""
"62";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G16";"2C";NA;"0007D30CDD";"M";"S";"43";"GRAASIDEMUS";"N";""
"63";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"2B";NA;"0007D2BBDE";"F";"C";"42";"GRAASIDEMUS";"N";""
"64";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1B";NA;"0007D3A8DB";"M";"S";"41";"GRAASIDEMUS";"N";""
"65";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"1D";NA;"0007D2E1A1";"M";"S";"31";"GRAASIDEMUS";"N";""
"66";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G19";"2A";NA;NA;NA;NA;NA;"FJELLROTTE";"N";"ESCAPED DURING HANDLING"
"67";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"2D";NA;"0007D60469";"F";"C";NA;"GRAASIDEMUS";"R";""
"68";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"2B";NA;"0007D2BBDE";"F";"C";"41";"GRAASIDEMUS";"R";""
"69";2018;"PORSANGER";"AUTUMN";20818;1;"MASOY";"G20";"1D";NA;"0007D2E1A1";"M";"S";"29";"GRAASIDEMUS";"R";"SOMETHING WIERD, THIS TAG"
