dato	periode	stasjon 	art	kode	kjønn	vekt	rep	merk	annet
30.07.2019	aug	10	f	78f	f	46	4	g	
29.07.2019	aug	40	f	7ad	m	24	1	n	
29.07.2019	aug	14	f	7af	f	15	1	n	
30.07.2019	aug	40	f	7b4	f	24	1	n	
29.07.2019	aug	3	f	7b9	f	23	1	n	
29.07.2019	aug	35	f	7be	f	61	5	g	
30.07.2019	aug	3	f	7bf	f	24	1	n	
29.07.2019	aug	8	f	7d0	m	23	1	n	
30.07.2019	aug	8	f	7d0	f	22	1		
31.07.2019	aug	8	f	7d0	f	23	1		
30.07.2019	aug	16	f	7ec	f	47	5	g	
29.07.2019	aug	37	f	7f1	f	47	4	g	
30.07.2019	aug	45	f	81e	f	44	2	g	
31.07.2019	aug	45	f	81e	f	43	1		
29.07.2019	aug	30	f	do1	m	23	1	n	død
29.07.2019	aug	30	f	do2	m	22	1	n	død
06.09.2019	sept	14	f	472	m	23	1	n	
07.09.2019	sept	14	f	472	m	23	1		
07.09.2019	sept	11	f	490	f	22	1	n	
07.09.2019	sept	38	f	500	f	22	1	n	
06.09.2019	sept	29	f	517	f	42	1	g	
07.09.2019	sept	23	f	533	f	22	1	g	
08.09.2019	sept	32	f	533	f	22	1		
06.09.2019	sept	23	f	550	f	23	1	g	
07.09.2019	sept	19	f	561	f	20	1	n	
06.09.2019	sept	28	f	573	m	23	1	n	
08.09.2019	sept	45	f	574	m	22	1	n	
07.09.2019	sept	38	f	584	m	23	1	g	
06.09.2019	sept	23	f	589	m	25	1	g	
07.09.2019	sept	23	f	589	m	25	1		
08.09.2019	sept	23	f	589	m	25	1		
06.09.2019	sept	16	f	6e2	m	20	1	n	
07.09.2019	sept	17	f	6e2	m	22	1		
06.09.2019	sept	36	f	613	f	37	1	g	
07.09.2019	sept	36	f	613	f	35	1		
08.09.2019	sept	36	f	613	f	35	1		
07.09.2019	sept	32	f	615	f	45	1	g	
06.09.2019	sept	35	f	635	m	22	1	g	
08.09.2019	sept	12	f	639	m	28	1	n	
08.09.2019	sept	14	f	673	f	21	1	n	
07.09.2019	sept	40	f	679	m	23	1	g	
08.09.2019	sept	39	f	679	m	23	1		
06.09.2019	sept	33	f	695	m	25	1	n	
06.09.2019	sept	1	f	700	m	22	1	n	
06.09.2019	sept	32	f	7e2	f	22	1	n	
06.09.2019	sept	12	f	733	m	23	1	n	
07.09.2019	sept	35	f	737	f	22	1	n	
06.09.2019	sept	44	f	754	m	24	1	n	
08.09.2019	sept	20	f	755	f	20	1	n	
06.09.2019	sept	18	f	778	f	41	1	g	
07.09.2019	sept	18	f	778	f	44	1		
08.09.2019	sept	18	f	778	f	44	1		
08.09.2019	sept	4	f	784	f	23	1	n	
06.09.2019	sept	8	f	796	f	24	1	g	
07.09.2019	sept	8	f	796	f	23	1		
08.09.2019	sept	8	f	796	f	23	1		
08.09.2019	sept	21	f	797	m	22	1	n	
07.09.2019	sept	44	f	821	m	22	1	n	
08.09.2019	sept	17	f	821	m	22	1		
06.09.2019	sept	44	f	4e5	f	23	1	n	
06.09.2019	sept	14	f	43e	f	21	1	n	
07.09.2019	sept	14	f	43e	f	20	1		
08.09.2019	sept	14	f	43e	f	20	1		
06.09.2019	sept	6	f	45c	f	43	1	g	
07.09.2019	sept	2	f	45c	f	38	1		
06.09.2019	sept	39	f	4a6	m	24	1	n	
07.09.2019	sept	33	f	4a7	f	25	1	g	
08.09.2019	sept	32	f	4a7	f	26	1		
06.09.2019	sept	24	f	4a8	m	23	1	n	
06.09.2019	sept	31	f	4ac	f	21	1	n	
08.09.2019	sept	28	f	4c8	f	23	1	n	
07.09.2019	sept	42	f	4cc	m	20	1	n	
07.09.2019	sept	17	f	4ce	f	40	1	g	
08.09.2019	sept	5	f	4df	m	24	1	n	
07.09.2019	sept	37	f	51f	m	45	1	g	
07.09.2019	sept	5	f	52d	f	19	1	n	
08.09.2019	sept	19	f	54c	m	22	1	n	
07.09.2019	sept	1	f	59d	f	21	1	n	
08.09.2019	sept	1	f	59d	f	21	1		
06.09.2019	sept	3	f	5a0	f	40	1	g	
07.09.2019	sept	3	f	5a0	f	40	1		
08.09.2019	sept	3	f	5a0	f	38	1		
08.09.2019	sept	26	f	5a4	m	51	1	g	
07.09.2019	sept	42	f	5a5	f	48	2	g	
