"";"date";"period";"trap";"ind";"sex";"wgt";"cap";"com";"trapsession";"station";"check";"trapline"
"215";2019-05-28;"june";"5";"579";"f";42;NA;NA;6;1;2;NA
"216";2019-05-26;"june";"30";"644";"f";48;"n";NA;6;3;3;NA
"217";2019-05-26;"june";"17";"662";"m";40;"g";NA;6;2;2;NA
"218";2019-05-27;"june";"19";"662";"m";41;NA;NA;6;2;1;NA
"219";2019-05-26;"june";"42";"672";"m";40;"g";NA;6;2;3;NA
"220";2019-05-28;"june";"43";"672";"m";41;NA;NA;6;2;1;NA
"221";2019-05-26;"june";"43";"678";"f";30;"n";NA;6;2;1;NA
"222";2019-05-28;"june";"44";"678";"f";32;NA;NA;6;2;2;NA
"223";2019-05-27;"june";"43";"683";"m";40;"n";NA;6;2;1;NA
"224";2019-05-26;"june";"10";"688";"f";38;"g";NA;6;1;1;NA
"225";2019-05-28;"june";"9";"688";"f";35;NA;NA;6;1;3;NA
"226";2019-05-28;"june";"16";"707";"m";43;"n";NA;6;2;1;NA
"227";2019-05-26;"june";"19";"718";"f";32;"n";NA;6;2;1;NA
"228";2019-05-27;"june";"40";"745";"m";47;"n";NA;6;3;1;NA
"229";2019-05-27;"june";"17";"761";"f";39;"g";NA;6;2;2;NA
"230";2019-05-27;"june";"24";"779";"f";28;"n";NA;6;3;3;NA
"231";2019-05-28;"june";"24";"779";"f";30;NA;NA;6;3;3;NA
"232";2019-05-28;"june";"32";"781";"m";41;"n";NA;6;3;2;NA
"233";2019-05-26;"june";"37";"798";"m";37;"n";NA;6;3;1;NA
"234";2019-05-27;"june";"42";"798";"m";37;NA;NA;6;2;3;NA
"235";2019-05-27;"june";"7";"820";"m";41;"n";NA;6;1;1;NA
"236";2019-05-26;"june";"40";"7e3";"m";45;"n";NA;6;3;1;NA
"237";2019-05-28;"june";"41";"7e3";"m";46;NA;NA;6;3;2;NA
"238";2019-05-26;"june";"9";"4a2";"m";39;"n";NA;6;1;3;NA
"239";2019-05-26;"june";"14";"4f9";"m";37;"n";NA;6;1;2;NA
"240";2019-05-27;"june";"15";"4f9";"m";38;NA;NA;6;2;3;NA
"241";2019-05-28;"june";"45";"4f9";"m";39;NA;NA;6;2;3;NA
"242";2019-05-26;"june";"13";"4fe";"m";44;"n";NA;6;1;1;NA
"243";2019-05-27;"june";"38";"50a";"m";40;"n";NA;6;3;2;NA
"244";2019-05-27;"june";"44";"50c";"f";NA;"n";"død";6;2;2;NA
"245";2019-05-27;"june";"14";"51a";"f";37;"g";NA;6;1;2;NA
"246";2019-05-28;"june";"13";"51a";"f";37;NA;NA;6;1;1;NA
"247";2019-05-28;"june";"8";"54f";"m";46;"n";NA;6;1;2;NA
"248";2019-05-26;"june";"3";"56c";"m";39;"n";NA;6;1;3;NA
"249";2019-05-28;"june";"1";"56c";"m";43;NA;NA;6;1;1;NA
"250";2019-05-26;"june";"31";"5a4";"m";45;"n";NA;6;3;1;NA
"251";2019-05-28;"june";"31";"5a4";"f";48;NA;NA;6;3;1;NA
"252";2019-05-27;"june";"31";"5b3";"m";42;"n";NA;6;3;1;NA
"253";2019-05-27;"june";"41";"5c6";"m";45;"n";NA;6;3;2;NA
"254";2019-05-26;"june";"27";"63d";"f";43;"n";NA;6;3;3;NA
"255";2019-05-27;"june";"24";"6ba";"m";41;"n";NA;6;3;3;NA
"256";2019-05-28;"june";"15";"6d9";"m";45;"n";NA;6;2;3;NA
"257";2019-05-26;"june";"41";"72b";"f";30;"n";NA;6;3;2;NA
"258";2019-05-28;"june";"42";"74d";"f";32;"n";NA;6;2;3;NA
"259";2019-05-27;"june";"11";"78f";"f";49;"n";NA;6;1;2;NA
"260";2019-05-28;"june";"35";"7be";"f";51;"n";NA;6;3;2;NA
"261";2019-05-28;"june";"30";"7c7";"f";37;"n";NA;6;3;3;NA
"262";2019-05-27;"june";"16";"7ec";"f";32;"n";NA;6;2;1;NA
"263";2019-05-26;"june";"43";"b0c";"f";27;"n";NA;6;2;1;NA
"264";2019-06-24;"july";"44";"111";"f";45;"n";"død";7;2;2;NA
"265";2019-06-25;"july";"4";"112";"f";15;"n";"død";7;1;1;NA
"266";2019-06-25;"july";"4";"113";"f";13;"n";"død";7;1;1;NA
"267";2019-06-25;"july";"13";"430";"f";35;"g";NA;7;1;1;NA
"268";2019-06-25;"july";"39";"473";"m";58;"n";NA;7;3;3;NA
"269";2019-06-24;"july";"39";"475";"f";27;"n";NA;7;3;3;NA
"270";2019-06-25;"july";"38";"475";"f";30;NA;NA;7;3;2;NA
"271";2019-06-26;"july";"35";"475";"f";22;NA;NA;7;3;2;NA
"272";2019-06-24;"july";"9";"489";"f";52;"n";NA;7;1;3;NA
"273";2019-06-25;"july";"8";"489";"f";50;NA;NA;7;1;2;NA
"274";2019-06-26;"july";"8";"489";"f";49;NA;NA;7;1;2;NA
"275";2019-06-24;"july";"1";"511";"m";62;"g";NA;7;1;1;NA
"276";2019-06-25;"july";"6";"511";"m";62;NA;NA;7;1;3;NA
"277";2019-06-24;"july";"26";"517";"f";51;"n";NA;7;3;2;NA
"278";2019-06-25;"july";"23";"535";"m";55;"n";NA;7;3;2;NA
"279";2019-06-24;"july";"10";"538";"f";48;"g";NA;7;1;1;NA
"280";2019-06-25;"july";"11";"538";"f";44;NA;NA;7;1;2;NA
"281";2019-06-26;"july";"11";"538";"f";43;NA;NA;7;1;2;NA
"282";2019-06-25;"july";"34";"570";"f";19;"g";NA;7;3;1;NA
"283";2019-06-26;"july";"34";"570";"f";20;NA;NA;7;3;1;NA
"284";2019-06-24;"july";"36";"571";"f";27;"n";NA;7;3;3;NA
"285";2019-06-26;"july";"39";"578";"f";46;"n";NA;7;3;3;NA
"286";2019-06-24;"july";"2";"579";"f";50;"g";NA;7;1;2;NA
"287";2019-06-25;"july";"2";"579";"f";51;NA;NA;7;1;2;NA
"288";2019-06-26;"july";"5";"579";"f";51;NA;NA;7;1;2;NA
"289";2019-06-26;"july";"22";"610";"m";67;"n";NA;7;3;1;NA
"290";2019-06-24;"july";"38";"613";"f";26;"n";NA;7;3;2;NA
"291";2019-06-24;"july";"32";"615";"f";51;"n";NA;7;3;2;NA
"292";2019-06-26;"july";"32";"615";"f";53;NA;NA;7;3;2;NA
"293";2019-06-25;"july";"21";"630";"m";24;"n";NA;7;2;3;NA
"294";2019-06-25;"july";"21";"659";"f";25;"n";NA;7;2;3;NA
"295";2019-06-26;"july";"21";"659";"f";25;NA;NA;7;2;3;NA
"296";2019-06-25;"july";"12";"660";"m";30;"n";NA;7;1;3;NA
"297";2019-06-24;"july";"18";"678";"f";48;"g";NA;7;2;3;NA
"298";2019-06-25;"july";"18";"678";"f";50;NA;NA;7;2;3;NA
"299";2019-06-26;"july";"17";"678";"f";47;NA;NA;7;2;2;NA
"300";2019-06-25;"july";"9";"688";"f";55;"g";NA;7;1;3;NA
"301";2019-06-26;"july";"10";"688";"f";56;NA;NA;7;1;1;NA
"302";2019-06-24;"july";"45";"707";"m";54;"g";NA;7;2;3;NA
"303";2019-06-24;"july";"42";"718";"f";45;"g";NA;7;2;3;NA
"304";2019-06-25;"july";"41";"718";"f";44;NA;NA;7;3;2;NA
"305";2019-06-26;"july";"42";"718";"f";42;NA;NA;7;2;3;NA
"306";2019-06-25;"july";"22";"745";"m";56;"g";NA;7;3;1;NA
"307";2019-06-25;"july";"35";"750";"m";22;"n";NA;7;3;2;NA
"308";2019-06-26;"july";"21";"750";"m";23;NA;NA;7;2;3;NA
"309";2019-06-24;"july";"23";"779";"f";50;"g";NA;7;3;2;NA
"310";2019-06-26;"july";"23";"779";"f";55;NA;NA;7;3;2;NA
"311";2019-06-25;"july";"34";"802";"m";20;"n";NA;7;3;1;NA
"312";2019-06-24;"july";"8";"820";"m";64;"g";NA;7;1;2;NA
"313";2019-06-26;"july";"34";"824";"f";22;"n";NA;7;3;1;NA
"314";2019-06-24;"july";"43";"46d";"f";47;"n";NA;7;2;1;NA
"315";2019-06-25;"july";"42";"46d";"f";50;NA;NA;7;2;3;NA
"316";2019-06-26;"july";"44";"46d";"f";47;NA;NA;7;2;2;NA
"317";2019-06-24;"july";"13";"4b0";"f";49;"n";NA;7;1;1;NA
"318";2019-06-26;"july";"13";"4b0";"f";43;NA;NA;7;1;1;NA
"319";2019-06-24;"july";"22";"4b4";"f";44;"n";NA;7;3;1;NA
"320";2019-06-26;"july";"45";"4ce";"f";55;"n";NA;7;2;3;NA
"321";2019-06-26;"july";"14";"4f9";"m";58;"g";NA;7;1;2;NA
"322";2019-06-24;"july";"12";"51a";"f";43;"g";NA;7;1;3;NA
"323";2019-06-24;"july";"40";"61a";"f";60;"n";NA;7;3;1;NA
"324";2019-06-25;"july";"37";"51f";"m";52;"n";NA;7;3;1;NA
"325";2019-06-26;"july";"36";"51f";"m";52;NA;NA;7;3;3;NA
"326";2019-06-25;"july";"10";"54f";"m";63;"g";NA;7;1;1;NA
"327";2019-06-25;"july";"3";"5a0";"f";58;"n";NA;7;1;3;NA
"328";2019-06-26;"july";"30";"5a4";"m";67;"g";NA;7;3;3;NA
"329";2019-06-24;"july";"20";"5af";"m";39;"n";NA;7;2;2;NA
"330";2019-06-25;"july";"15";"5b4";"f";33;"n";NA;7;2;3;NA
"331";2019-06-24;"july";"19";"5da";"m";59;"n";NA;7;2;1;NA
"332";2019-06-25;"july";"19";"5da";"m";57;NA;NA;7;2;1;NA
"333";2019-06-25;"july";"36";"65d";"m";42;"n";NA;7;3;3;NA
"334";2019-06-26;"july";"24";"69d";"m";15;"n";NA;7;3;3;NA
"335";2019-06-24;"july";"3";"6b7";"m";57;"n";NA;7;1;3;NA
"336";2019-06-26;"july";"3";"6b7";"m";57;NA;NA;7;1;3;NA
"337";2019-06-24;"july";"21";"6d1";"m";38;"n";NA;7;2;3;NA
"338";2019-06-26;"july";"38";"6d9";"m";52;"g";NA;7;3;2;NA
"339";2019-06-25;"july";"16";"6da";"f";52;"n";NA;7;2;1;NA
"340";2019-06-26;"july";"45";"6da";"f";55;NA;NA;7;2;3;NA
"341";2019-06-25;"july";"21";"71e";"f";25;"n";NA;7;2;3;NA
"342";2019-06-26;"july";"41";"72b";"f";46;"g";NA;7;3;2;NA
"343";2019-06-24;"july";"24";"72d";"f";12;"n";NA;7;3;3;NA
"344";2019-06-26;"july";"24";"72d";"f";15;"n";NA;7;3;3;NA
"345";2019-06-26;"july";"18";"74d";"f";50;NA;NA;7;2;3;NA
